Classe,FPR,TPR
Ametista,0.0,0.0
Ametista,0.0,0.0010214504596527069
Ametista,0.0,0.3769152196118488
Ametista,0.0007727975270479134,0.3769152196118488
Ametista,0.0007727975270479134,0.3861082737487232
Ametista,0.0015455950540958269,0.3861082737487232
Ametista,0.0015455950540958269,0.3922369765066394
Ametista,0.00231839258114374,0.3922369765066394
Ametista,0.00231839258114374,0.501532175689479
Ametista,0.0030911901081916537,0.501532175689479
Ametista,0.0030911901081916537,0.5066394279877426
Ametista,0.0038639876352395673,0.5066394279877426
Ametista,0.0038639876352395673,0.5372829417773238
Ametista,0.00463678516228748,0.5372829417773238
Ametista,0.00463678516228748,0.54341164453524
Ametista,0.005409582689335394,0.54341164453524
Ametista,0.005409582689335394,0.5873340143003064
Ametista,0.0061823802163833074,0.5873340143003064
Ametista,0.0061823802163833074,0.5955056179775281
Ametista,0.006955177743431221,0.5955056179775281
Ametista,0.006955177743431221,0.6394279877425945
Ametista,0.0077279752704791345,0.6394279877425945
Ametista,0.0077279752704791345,0.6414708886618999
Ametista,0.008500772797527048,0.6414708886618999
Ametista,0.008500772797527048,0.6506639427987743
Ametista,0.00927357032457496,0.6506639427987743
Ametista,0.00927357032457496,0.6608784473953013
Ametista,0.010046367851622875,0.6608784473953013
Ametista,0.010046367851622875,0.6629213483146067
Ametista,0.010819165378670788,0.6629213483146067
Ametista,0.010819165378670788,0.6639427987742594
Ametista,0.011591962905718702,0.6639427987742594
Ametista,0.011591962905718702,0.6649642492339122
Ametista,0.012364760432766615,0.6649642492339122
Ametista,0.012364760432766615,0.6700715015321757
Ametista,0.01313755795981453,0.6700715015321757
Ametista,0.01313755795981453,0.6823289070480082
Ametista,0.013910355486862442,0.6823289070480082
Ametista,0.013910355486862442,0.6925434116445353
Ametista,0.014683153013910355,0.6925434116445353
Ametista,0.014683153013910355,0.6966292134831461
Ametista,0.015455950540958269,0.6966292134831461
Ametista,0.015455950540958269,0.7037793667007151
Ametista,0.01622874806800618,0.7037793667007151
Ametista,0.01622874806800618,0.7058222676200204
Ametista,0.017001545595054096,0.7058222676200204
Ametista,0.017001545595054096,0.7139938712972421
Ametista,0.01777434312210201,0.7139938712972421
Ametista,0.01777434312210201,0.7211440245148111
Ametista,0.01854714064914992,0.7211440245148111
Ametista,0.01854714064914992,0.7242083758937692
Ametista,0.019319938176197836,0.7242083758937692
Ametista,0.019319938176197836,0.7262512768130746
Ametista,0.02009273570324575,0.7262512768130746
Ametista,0.02009273570324575,0.7293156281920327
Ametista,0.020865533230293665,0.7293156281920327
Ametista,0.020865533230293665,0.7446373850868233
Ametista,0.021638330757341576,0.7446373850868233
Ametista,0.021638330757341576,0.7466802860061287
Ametista,0.02241112828438949,0.7466802860061287
Ametista,0.02241112828438949,0.7589376915219612
Ametista,0.023183925811437404,0.7589376915219612
Ametista,0.023183925811437404,0.7609805924412666
Ametista,0.023956723338485315,0.7609805924412666
Ametista,0.023956723338485315,0.7620020429009193
Ametista,0.02472952086553323,0.7620020429009193
Ametista,0.02472952086553323,0.7660878447395302
Ametista,0.025502318392581144,0.7660878447395302
Ametista,0.025502318392581144,0.7671092951991828
Ametista,0.02704791344667697,0.7671092951991828
Ametista,0.02704791344667697,0.7701736465781409
Ametista,0.027820710973724884,0.7701736465781409
Ametista,0.027820710973724884,0.7783452502553626
Ametista,0.0285935085007728,0.7783452502553626
Ametista,0.0285935085007728,0.780388151174668
Ametista,0.02936630602782071,0.780388151174668
Ametista,0.02936630602782071,0.7885597548518897
Ametista,0.030139103554868624,0.7885597548518897
Ametista,0.030139103554868624,0.7926455566905005
Ametista,0.03168469860896445,0.7926455566905005
Ametista,0.03168469860896445,0.7946884576098059
Ametista,0.03245749613601236,0.7946884576098059
Ametista,0.03245749613601236,0.7957099080694586
Ametista,0.0347758887171561,0.7957099080694586
Ametista,0.0347758887171561,0.797752808988764
Ametista,0.03554868624420402,0.797752808988764
Ametista,0.03554868624420402,0.7997957099080695
Ametista,0.03632148377125193,0.7997957099080695
Ametista,0.03632148377125193,0.8008171603677222
Ametista,0.03709428129829984,0.8008171603677222
Ametista,0.03709428129829984,0.804902962206333
Ametista,0.03786707882534776,0.804902962206333
Ametista,0.03786707882534776,0.8130745658835546
Ametista,0.03863987635239567,0.8130745658835546
Ametista,0.03863987635239567,0.8140960163432074
Ametista,0.04095826893353941,0.8140960163432074
Ametista,0.04095826893353941,0.8181818181818182
Ametista,0.04173106646058733,0.8181818181818182
Ametista,0.04173106646058733,0.8192032686414709
Ametista,0.04250386398763524,0.8192032686414709
Ametista,0.04250386398763524,0.8355464759959143
Ametista,0.04327666151468315,0.8355464759959143
Ametista,0.04327666151468315,0.8365679264555669
Ametista,0.04404945904173107,0.8365679264555669
Ametista,0.04404945904173107,0.8375893769152196
Ametista,0.04482225656877898,0.8375893769152196
Ametista,0.04482225656877898,0.839632277834525
Ametista,0.04636785162287481,0.839632277834525
